City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Half Moon Bay,US,80.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
9,Puerto Leguizamo,CO,83.68,overcast clouds,-0.1934,-74.7819,la casona de juancho
10,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
25,Fare,PF,81.73,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
38,San Jose,US,80.6,few clouds,37.3394,-121.895,The Westin San Jose
39,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
70,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Pundaguitan,PH,80.38,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
89,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
90,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
92,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
94,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
100,Mumford,GH,80.1,scattered clouds,5.2618,-0.759,Spanish Villa
103,Anloga,GH,84.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
112,Lorengau,PG,81.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
129,Ugoofaaru,MV,81.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
130,Lompoc,US,87.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
136,San Patricio,US,80.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
137,Twentynine Palms,US,84.06,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
142,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
143,Madera,US,83.97,clear sky,37.1666,-119.8343,
157,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
158,Paita,PE,84.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
174,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
182,Pisco,PE,80.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
191,Acarau,BR,80.24,broken clouds,-2.8856,-40.12,castelo pizzaria
220,Redding,US,84.72,clear sky,40.5865,-122.3917,Redding Inn & Suites
222,Rodrigues Alves,BR,88.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
237,Pacific Grove,US,83.57,clear sky,36.6177,-121.9166,Lovers Point Inn
243,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
244,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
257,Casa Nova,BR,80.58,broken clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
258,Coachella,US,91.69,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
272,Presidencia Roque Saenz Pena,AR,88.23,moderate rain,-26.7852,-60.4388,Hotel Gualok
280,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
289,Prieska,ZA,83.73,clear sky,-29.6641,22.7474,Avenue GuestHouse
299,Kavieng,PG,81.3,light rain,-2.5744,150.7967,Nusa Island Retreat
303,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
320,Cancun,MX,80.53,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
327,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
328,Vaitape,PF,81.52,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
334,Yuty,PY,89.56,broken clouds,-26.6,-56.25,Hotel Independencia
335,Noumea,NC,82.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
336,Ramona,US,86.52,clear sky,33.0417,-116.8681,Ramona Terrace Estates
360,Kudahuvadhoo,MV,81.23,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
366,Poya,NC,82.81,overcast clouds,-21.35,165.15,
369,Daru,PG,80.37,overcast clouds,-9.0763,143.2092,Daru Lodge
374,Kavaratti,IN,80.11,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
380,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
385,Barra Patuca,HN,80.29,few clouds,15.8,-84.2833,
388,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
396,Buchanan,LR,80.56,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
398,Capiibary,PY,83.53,scattered clouds,-24.8,-56.0333,Hotel Toledo
402,Maragogi,BR,81.25,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
403,Lazaro Cardenas,MX,82.96,scattered clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
404,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
410,Uniao,BR,87.82,overcast clouds,-4.5858,-42.8642,Pousada União
412,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
415,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
417,Sao Jose Da Coroa Grande,BR,81.28,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
433,Jurado,CO,80.76,light rain,7.1053,-77.7641,
436,Rivera,UY,93.69,broken clouds,-30.9053,-55.5508,Hotel Casino & Resort Rivera
444,Nioro,GM,82.58,clear sky,13.35,-15.75,
449,Boa Vista,BR,93.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
460,Libreville,GA,80.02,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
465,Tecoanapa,MX,83.35,scattered clouds,16.5167,-98.75,Hotel Manglares
468,Namatanai,PG,80.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
479,Gambela,ET,87.4,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
480,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
481,Ewa Beach,US,80.1,clear sky,21.3156,-158.0072,Uncle Junior Robert
482,Marigot,MF,80.69,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
487,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
502,Santa Ana,US,92.16,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
508,Tomatlan,MX,85.6,clear sky,19.9333,-105.25,El Salvial
515,Presidente Epitacio,BR,80.49,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
520,Calabozo,VE,92.97,broken clouds,8.9242,-67.4293,Hotel Giardini
526,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
530,Poum,NC,80.55,overcast clouds,-20.2333,164.0167,
548,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
563,Puerto Escondido,MX,83.14,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
567,Santa Maria,BR,85.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
569,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
579,Cravo Norte,CO,94.57,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
584,El Alto,PE,82.06,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
590,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
598,Fomboni,KM,80.13,overcast clouds,-12.28,43.7425,Auberge les abou
609,Luganville,VU,84.09,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
616,Lakatoro,VU,82.94,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
624,Tamboril,DO,84.97,scattered clouds,19.4854,-70.611,Camp David Ranch Restaurant
631,Manaure,CO,91.51,few clouds,11.7751,-72.4445,Hotel Palaaima
644,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
656,Mango,US,82.72,broken clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
662,Balabac,PH,80.22,broken clouds,7.9868,117.0645,Batalla’s Lodging House
664,Kibala,TD,82.35,clear sky,9.1104,18.3463,hotel safari
666,Bonito,BR,88.12,overcast clouds,-21.1211,-56.4819,Marruá Hotel
