City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Half Moon Bay,US,37.4636,-122.4286,80.91,40,0,0.0,clear sky
1,Sao Joaquim,BR,-28.2939,-49.9317,62.69,81,62,4.5,broken clouds
2,Upernavik,GL,72.7868,-56.1549,-13.83,78,100,15.5,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,53.47,60,95,6.04,overcast clouds
4,Bejar,ES,40.3864,-5.7634,46.58,71,47,3.02,scattered clouds
5,Esperance,AU,-33.8667,121.9,73.24,93,100,4.76,overcast clouds
6,Busselton,AU,-33.65,115.3333,58.08,91,43,5.26,scattered clouds
7,Gujar Khan,PK,33.2558,73.3026,48.63,39,6,4.76,clear sky
8,Albany,US,42.6001,-73.9662,49.87,46,84,1.01,broken clouds
9,Puerto Leguizamo,CO,-0.1934,-74.7819,83.68,67,100,2.98,overcast clouds
10,Alofi,NU,-19.0595,-169.9187,84.09,70,2,17.27,clear sky
11,Ushuaia,AR,-54.8,-68.3,56.86,58,75,10.36,light intensity drizzle
12,Rikitea,PF,-23.1203,-134.9692,79.16,73,3,16.44,clear sky
13,Qaanaaq,GL,77.484,-69.3632,-23.53,60,0,7.34,clear sky
14,Barrow,US,71.2906,-156.7887,-27.38,68,0,5.75,clear sky
15,Hobart,AU,-42.8794,147.3294,52.05,72,75,11.5,broken clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,62.62,75,100,21.99,light rain
17,Arlit,NE,18.7369,7.3853,66.34,17,0,9.22,clear sky
18,Hasaki,JP,35.7333,140.8333,30.6,58,19,13.47,few clouds
19,Tuatapere,NZ,-46.1333,167.6833,53.82,67,35,7.05,scattered clouds
20,Port Hawkesbury,CA,45.6169,-61.3485,39.15,71,0,5.75,clear sky
21,Rawson,AR,-43.3002,-65.1023,64.71,44,1,15.68,clear sky
22,Mangrol,IN,21.1167,70.1167,69.08,36,0,9.98,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,74.79,72,32,7.38,scattered clouds
24,Okhotsk,RU,59.3833,143.3,-12.37,85,66,8.34,broken clouds
25,Fare,PF,-16.7,-151.0167,81.73,73,64,15.82,broken clouds
26,Antequera,ES,37.0194,-4.5612,50.95,96,11,5.75,few clouds
27,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,0,2.3,clear sky
28,Dingle,PH,10.9995,122.6711,74.59,92,100,6.8,light rain
29,Mahebourg,MU,-20.4081,57.7,75.49,88,20,3.44,few clouds
30,Komsomolskiy,UZ,40.4272,71.7189,40.42,64,100,4.61,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,40,10.36,scattered clouds
32,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,100,9.89,overcast clouds
33,Norman Wells,CA,65.282,-126.8329,-9.36,77,20,4.61,few clouds
34,North Myrtle Beach,US,33.816,-78.68,68.34,60,0,8.05,clear sky
35,Bluff,NZ,-46.6,168.3333,53.8,68,21,16.73,light rain
36,Dikson,RU,73.5069,80.5464,1.44,82,100,28.83,overcast clouds
37,Castro,BR,-24.7911,-50.0119,72.28,69,55,6.93,broken clouds
38,San Jose,US,37.3394,-121.895,80.6,39,20,4.61,few clouds
39,Vaini,TO,-21.2,-175.2,84.36,89,40,6.91,scattered clouds
40,Srednekolymsk,RU,67.45,153.6833,-38.22,100,31,6.17,scattered clouds
41,Sohbatpur,PK,28.5202,68.5434,59.18,28,0,1.63,clear sky
42,Lebu,CL,-37.6167,-73.65,61.45,66,0,23.96,clear sky
43,Ancud,CL,-41.8697,-73.8203,67.23,56,2,4.94,clear sky
44,Airai,TL,-8.9266,125.4092,60.31,94,100,1.59,overcast clouds
45,East London,ZA,-33.0153,27.9116,74.75,86,100,6.11,overcast clouds
46,Anadyr,RU,64.75,177.4833,-34.1,67,69,8.95,fog
47,Lanzhou,CN,36.0564,103.7922,24.08,92,100,3.49,light snow
48,Ribeira Grande,PT,38.5167,-28.7,59.4,77,20,5.75,few clouds
49,Lillooet,CA,50.6856,-121.942,47.12,65,100,1.14,overcast clouds
50,Clinton,US,42.587,-82.9199,38.28,91,100,13.8,overcast clouds
51,Oyem,GA,1.5995,11.5793,74.77,72,72,3.94,broken clouds
52,San Cristobal,VE,7.7669,-72.225,71.78,60,82,1.3,broken clouds
53,Gravdal,NO,68.1214,13.5031,26.49,93,75,2.3,broken clouds
54,Luanda,AO,-8.8368,13.2343,77.07,84,100,9.98,overcast clouds
55,Zimovniki,RU,47.1483,42.4633,41.65,71,100,16.87,overcast clouds
56,Maniitsoq,GL,65.4167,-52.9,28.0,97,100,17.0,snow
57,Lasa,IT,46.6166,10.7002,37.31,76,36,7.02,scattered clouds
58,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,32.21,snow
59,Cherskiy,RU,68.75,161.3,-36.62,100,90,6.55,overcast clouds
60,Khani,GE,41.9563,42.9566,27.97,81,15,7.07,few clouds
61,Berlevag,NO,70.8578,29.0864,33.75,69,75,25.32,broken clouds
62,Tiksi,RU,71.6872,128.8694,-10.57,92,99,16.33,overcast clouds
63,Hermanus,ZA,-34.4187,19.2345,65.89,88,0,6.22,clear sky
64,Saint-Joseph,RE,-21.3667,55.6167,73.78,72,23,5.66,few clouds
65,Tasiilaq,GL,65.6145,-37.6368,14.16,64,100,5.32,overcast clouds
66,Pevek,RU,69.7008,170.3133,-29.42,100,98,6.69,overcast clouds
67,Saquarema,BR,-22.92,-42.5103,75.24,87,100,5.79,light rain
68,Yellowknife,CA,62.456,-114.3525,-6.59,81,75,3.44,broken clouds
69,Cape Town,ZA,-33.9258,18.4232,69.89,78,20,24.16,few clouds
70,Faanui,PF,-16.4833,-151.75,81.34,73,37,13.49,scattered clouds
71,Chokurdakh,RU,70.6333,147.9167,-4.85,97,100,12.53,overcast clouds
72,Gamba,GA,-2.65,10.0,77.38,90,18,5.23,few clouds
73,Kodiak,US,57.79,-152.4072,38.71,93,100,3.44,"light rain, mist"
74,Katherine,AU,-14.4667,132.2667,79.12,89,100,9.22,overcast clouds
75,Wanaka,NZ,-44.7,169.15,62.11,74,100,3.0,overcast clouds
76,Bulata,PH,9.8599,122.4016,77.99,89,70,14.74,broken clouds
77,Kapaa,US,22.0752,-159.319,79.12,63,0,3.44,clear sky
78,Aklavik,CA,68.2191,-135.0107,-17.57,69,20,4.61,few clouds
79,Plettenberg Bay,ZA,-34.0527,23.3716,65.21,81,0,2.8,clear sky
80,Pundaguitan,PH,6.3711,126.1689,80.38,79,100,11.01,overcast clouds
81,Mackenzie,CA,55.2999,-123.1698,28.62,64,100,6.91,overcast clouds
82,Lagoa,PT,39.05,-27.9833,59.65,79,98,13.73,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,57.31,67,0,32.21,clear sky
84,Bose,IT,45.4612,8.0137,46.94,61,5,5.35,clear sky
85,Naqadeh,IR,36.9553,45.388,33.57,93,98,5.32,light snow
86,Yar-Sale,RU,66.8333,70.8333,-0.36,81,100,17.31,overcast clouds
87,Peniche,PT,39.3558,-9.3811,61.61,92,100,6.82,overcast clouds
88,Keskin,TR,39.6731,33.6136,25.39,94,6,4.79,clear sky
89,Avarua,CK,-21.2078,-159.775,82.45,74,59,12.66,broken clouds
90,Sabang,ID,5.8933,95.3214,81.66,70,100,9.19,overcast clouds
91,Atuona,PF,-9.8,-139.0333,77.83,75,5,13.13,clear sky
92,Hilo,US,19.7297,-155.09,80.33,64,0,5.75,clear sky
93,Hami,CN,42.8,93.45,29.66,53,100,0.63,overcast clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,92,4.0,overcast clouds
95,Houma,US,29.5958,-90.7195,72.0,34,0,8.01,clear sky
96,Kruisfontein,ZA,-34.0033,24.7314,62.65,83,0,1.88,clear sky
97,Guerrero Negro,MX,27.9769,-114.0611,76.03,22,0,10.6,clear sky
98,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,20,3.44,few clouds
99,Bumba,CD,2.1833,22.4667,78.58,49,99,0.2,overcast clouds
100,Mumford,GH,5.2618,-0.759,80.1,86,46,9.24,scattered clouds
101,Lake Charles,US,30.2131,-93.2044,73.38,34,0,12.66,clear sky
102,Whitehorse,CA,60.7161,-135.0538,27.37,73,100,11.5,overcast clouds
103,Anloga,GH,5.7947,0.8973,84.42,84,45,10.56,scattered clouds
104,Uusikaupunki,FI,60.8004,21.4084,23.52,80,11,12.37,few clouds
105,Malanje,AO,-9.5402,16.341,66.74,79,100,2.68,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,76.68,75,86,15.99,overcast clouds
107,Saint-Pierre,RE,-21.3393,55.4781,74.88,73,0,3.44,clear sky
108,Richmond,US,37.5538,-77.4603,68.54,27,20,20.71,few clouds
109,Carnarvon,AU,-24.8667,113.6333,78.87,73,0,0.0,clear sky
110,Luderitz,NA,-26.6481,15.1594,78.15,61,100,10.38,overcast clouds
111,Tromso,NO,69.6496,18.957,26.62,86,100,13.8,light snow
112,Lorengau,PG,-2.0226,147.2712,81.99,77,100,9.55,overcast clouds
113,Hailey,US,43.5196,-114.3153,31.86,71,0,10.36,clear sky
114,Port Alfred,ZA,-33.5906,26.891,70.54,86,6,4.9,clear sky
115,Bredasdorp,ZA,-34.5322,20.0403,69.12,78,12,1.14,few clouds
116,Gobabis,NA,-22.45,18.9667,72.1,58,55,7.58,broken clouds
117,Ilulissat,GL,69.2167,-51.1,24.82,80,100,6.91,overcast clouds
118,Bubaque,GW,11.2833,-15.8333,78.98,74,69,10.78,broken clouds
119,Laguna,US,38.421,-121.4238,78.01,49,0,5.75,clear sky
120,Bambanglipuro,ID,-7.95,110.2833,75.9,89,99,6.4,overcast clouds
121,Mount Gambier,AU,-37.8333,140.7667,53.76,84,0,7.23,clear sky
122,Coihaique,CL,-45.5752,-72.0662,67.95,40,0,8.05,clear sky
123,Saint-Francois,FR,46.4154,3.9054,32.68,85,0,2.3,clear sky
124,Bethel,US,41.3712,-73.414,53.47,48,33,1.99,scattered clouds
125,Westport,US,41.1415,-73.3579,55.71,50,0,13.8,clear sky
126,Namibe,AO,-15.1961,12.1522,75.94,83,86,1.83,overcast clouds
127,Jadu,LY,31.953,12.0261,47.55,64,75,6.24,broken clouds
128,Saint George,US,37.1041,-113.5841,72.07,21,0,4.61,clear sky
129,Ugoofaaru,MV,5.6667,73.0,81.25,73,96,3.67,overcast clouds
130,Lompoc,US,34.6391,-120.4579,87.1,27,0,5.75,clear sky
131,Villazon,BO,-22.0866,-65.5942,67.19,26,62,13.89,broken clouds
132,San Luis,AR,-33.295,-66.3356,60.37,82,98,15.17,overcast clouds
133,Casablanca,MA,33.5928,-7.6192,57.42,86,0,5.64,clear sky
134,Provideniya,RU,64.3833,-173.3,-13.83,89,7,8.63,clear sky
135,Nanortalik,GL,60.1432,-45.2371,29.55,82,100,8.25,overcast clouds
136,San Patricio,US,28.017,-97.5169,80.69,48,0,10.89,clear sky
137,Twentynine Palms,US,34.1356,-116.0542,84.06,15,0,4.0,clear sky
138,Sterling,US,39.0062,-77.4286,68.14,28,20,19.57,few clouds
139,Gat,IL,31.61,34.7642,51.4,100,6,5.23,clear sky
140,Otjimbingwe,NA,-22.35,16.1333,72.21,80,100,5.03,light rain
141,Aasiaat,GL,68.7098,-52.8699,18.97,88,100,7.72,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,81.18,71,100,9.37,overcast clouds
143,Madera,US,37.1666,-119.8343,83.97,43,3,4.29,clear sky
144,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,8,6.71,clear sky
145,Chiang Khong,TH,20.2613,100.4046,59.32,65,1,1.59,clear sky
146,Jamestown,US,42.097,-79.2353,47.84,29,100,24.16,overcast clouds
147,Yulara,AU,-25.2406,130.9889,67.84,45,0,6.91,clear sky
148,Sabha,LY,27.0377,14.4283,51.49,31,0,6.62,clear sky
149,Biltine,TD,14.5333,20.9167,69.17,11,4,11.95,clear sky
150,Mayo,US,38.8876,-76.5119,68.04,46,0,18.41,clear sky
151,Karaton,ID,-6.3424,106.1045,79.95,94,100,2.73,overcast clouds
152,Cidreira,BR,-30.1811,-50.2056,75.31,82,0,21.63,clear sky
153,Ponta Do Sol,PT,32.6667,-17.1,65.71,80,11,5.14,few clouds
154,Soubre,CI,5.7856,-6.6083,77.2,78,48,3.36,scattered clouds
155,Saldanha,ZA,-33.0117,17.9442,64.45,91,0,17.07,clear sky
156,Victoria,HK,22.2855,114.1577,65.95,89,36,4.0,scattered clouds
157,Tautira,PF,-17.7333,-149.15,84.22,72,70,16.37,broken clouds
158,Paita,PE,-5.0892,-81.1144,84.76,71,28,15.17,scattered clouds
159,Sachin,IN,21.0833,72.8833,68.95,33,2,9.4,clear sky
160,Minot,US,48.2325,-101.2963,7.79,61,0,16.11,clear sky
161,Asau,RO,46.4333,26.4,40.95,65,39,6.33,scattered clouds
162,Tilichiki,RU,60.4667,166.1,-17.79,87,6,8.99,clear sky
163,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,75,3.44,light intensity drizzle
164,Srandakan,ID,-7.9386,110.2506,76.53,87,99,6.13,overcast clouds
165,Bilibino,RU,68.0546,166.4372,-36.49,97,37,1.83,scattered clouds
166,Viransehir,TR,37.2353,39.7631,42.03,59,0,3.53,clear sky
167,Miraflores,MX,19.2167,-98.8083,68.65,25,1,9.91,clear sky
168,Thompson,CA,55.7435,-97.8558,-11.04,53,0,9.22,clear sky
169,Kwale,NG,5.7063,6.4374,79.74,74,7,4.97,clear sky
170,Muros,ES,42.7762,-9.0603,54.23,92,100,3.02,overcast clouds
171,Rocha,UY,-34.4833,-54.3333,72.43,86,98,10.71,overcast clouds
172,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,2.3,light snow
173,Sao Filipe,CV,14.8961,-24.4956,79.18,49,46,12.57,scattered clouds
174,Butaritari,KI,3.0707,172.7902,82.02,77,89,15.5,overcast clouds
175,Danjiangkou,CN,32.5428,111.5086,36.23,90,21,0.56,few clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,77.5,58,0,11.5,clear sky
177,Nabire,ID,-3.3667,135.4833,75.11,93,100,2.8,overcast clouds
178,Fukue,JP,32.6881,128.8419,50.4,58,98,13.76,overcast clouds
179,Huarmey,PE,-10.0681,-78.1522,74.68,72,52,9.86,broken clouds
180,Beyneu,KZ,45.3167,55.2,35.22,90,100,9.71,overcast clouds
181,Estelle,US,29.8458,-90.1067,72.0,40,40,9.22,scattered clouds
182,Pisco,PE,-13.7,-76.2167,80.65,54,0,20.71,clear sky
183,Zaranj,AF,30.9667,61.8833,48.16,22,0,6.64,clear sky
184,Ahipara,NZ,-35.1667,173.1667,77.49,87,96,17.4,overcast clouds
185,Carballo,ES,43.213,-8.691,51.91,87,100,1.68,overcast clouds
186,Lavrentiya,RU,65.5833,-171.0,-23.69,93,25,6.93,scattered clouds
187,Zhigansk,RU,66.7697,123.3711,-31.4,100,94,5.35,overcast clouds
188,Richards Bay,ZA,-28.783,32.0377,72.81,90,3,5.59,clear sky
189,Buala,SB,-8.145,159.5921,75.79,96,100,2.37,heavy intensity rain
190,Bengkulu,ID,-3.8004,102.2655,73.78,87,100,3.6,overcast clouds
191,Acarau,BR,-2.8856,-40.12,80.24,77,51,13.76,broken clouds
192,Mamallapuram,IN,12.6264,80.1722,79.05,70,28,9.64,scattered clouds
193,Sarkand,KZ,45.41,79.9186,22.23,71,100,5.3,overcast clouds
194,Zhezkazgan,KZ,47.8043,67.7144,26.04,86,99,19.73,overcast clouds
195,Vardo,NO,70.3705,31.1107,28.38,80,97,21.85,overcast clouds
196,Naze,JP,28.3667,129.4833,57.63,66,100,7.09,overcast clouds
197,Port Lincoln,AU,-34.7333,135.8667,67.23,68,0,14.09,clear sky
198,Chihuahua,MX,28.5,-106.0,67.03,8,0,4.16,clear sky
199,Neepawa,CA,50.2289,-99.4664,-3.6,77,9,6.96,clear sky
200,Hobyo,SO,5.3505,48.5268,76.3,65,57,16.04,broken clouds
201,Kahului,US,20.8947,-156.47,78.96,62,40,8.99,scattered clouds
202,Aykhal,RU,66.0,111.5,-9.65,100,99,5.44,overcast clouds
203,Jejuri,IN,18.2833,74.1667,64.33,37,32,3.18,scattered clouds
204,Novyy Svit,UA,47.8059,38.0211,39.4,85,99,10.16,overcast clouds
205,Hamilton,US,39.1834,-84.5333,58.71,48,100,12.66,overcast clouds
206,Avera,US,33.194,-82.5271,69.67,45,40,9.6,scattered clouds
207,Broken Hill,AU,-31.95,141.4333,62.31,51,0,10.36,clear sky
208,Constitucion,CL,-35.3333,-72.4167,67.86,52,0,14.5,clear sky
209,Kununurra,AU,-15.7667,128.7333,78.78,89,75,11.5,broken clouds
210,Sarahan,IN,31.5167,77.8,26.47,38,0,13.06,clear sky
211,Kardla,EE,58.9978,22.7492,32.05,67,6,15.35,clear sky
